,Td
0,28
1,26
2,24
3,23
4,23
5,25
6,26
7,27
8,28
9,26
10,25
11,24
12,24
13,26
14,27
15,25
16,25
17,22
18,19
19,17
20,18
21,24
22,27
23,25
24,26
25,25
26,25
27,24
28,23
29,25
30,27
31,26
